campana,ejes,lotes_evaluados,tasa_real_%,tasa_nula_%,separacion_pp,lift,corr_ejes,rho_ruido,rho_xy_nula
2023-2024,NDMI + PSRI,152,2.341658967598817,0.2572127214566929,2.0844462461421243,9.10397803941079,-0.783704575960675,0.21458824231262838,-0.8053872003394202
2023-2024,NDMI + NDRE,152,2.3440375414059624,0.20838459645669288,2.1356529449492694,11.248612331541056,0.7473631359160883,0.20761163038583186,0.8472123666786815
2023-2024,NDMI + CIRE,152,2.85671597834135,0.23289477731299213,2.623821201028358,12.26612297321786,0.6422407904183018,0.2339649888793997,0.7343166438867995
2024-2025,NDMI + PSRI,190,1.2883861953734912,0.09773590318251249,1.1906502921909787,13.182322497880362,-0.808804392297548,0.31770886674223553,-0.7655268708526081
2024-2025,NDMI + NDRE,190,2.054417653328724,0.056672515237798635,1.9977451380909255,36.25068774005106,0.8375833890508865,0.4140863984162373,0.8467272343812403
2024-2025,NDMI + CIRE,190,1.7731109382652033,0.06591807736797616,1.707192860897227,26.898705318225854,0.7678903483536942,0.3987943812571046,0.7876482675078976
2025-2026,NDMI + PSRI,162,1.416678698640092,0.22930935890491969,1.1873693397351726,6.178023894905661,-0.8215179763943515,0.3040751084053516,-0.8435517193106787
2025-2026,NDMI + NDRE,162,1.4836301608861644,0.22174604833126496,1.2618841125548994,6.690672379738551,0.8664131219174173,0.3506702085906379,0.8638743583800319
2025-2026,NDMI + CIRE,162,1.716070157818915,0.25853638989703415,1.457533767921881,6.637634874155877,0.7470213790514662,0.2843364131181025,0.8029338070952627
